county,year,crop,metric,value
Mandera,2020,maize,area_ha,3708.0
Mandera,2020,maize,production_tons,1847.0
Mandera,2021,maize,area_ha,3510.0
Mandera,2021,maize,production_tons,1818.0
Mandera,2022,maize,area_ha,3209.0
Mandera,2022,maize,production_tons,2160.0
Mandera,2023,maize,area_ha,3209.0
Mandera,2023,maize,production_tons,2738.0
Mandera,2024,maize,area_ha,2828.0
Mandera,2024,maize,production_tons,3113.0
Marsabit,2019,maize,area_ha,998.0
Marsabit,2019,maize,production_tons,402.0
Marsabit,2020,maize,area_ha,1023.0
Marsabit,2020,maize,production_tons,293.0
Marsabit,2021,maize,area_ha,658.0
Marsabit,2021,maize,production_tons,46.0
Marsabit,2022,maize,area_ha,591.0
Marsabit,2022,maize,production_tons,3.0
Marsabit,2023,maize,area_ha,2184.0
Marsabit,2023,maize,production_tons,337.0
Marsabit,2024,maize,area_ha,1830.0
Marsabit,2024,maize,production_tons,1089.0
Meru,2019,maize,area_ha,74577.0
Meru,2019,maize,production_tons,96249.0
Meru,2020,maize,area_ha,67416.0
Meru,2020,maize,production_tons,74757.0
Meru,2021,maize,area_ha,75058.0
Meru,2021,maize,production_tons,53331.0
Meru,2022,maize,area_ha,66338.0
Meru,2022,maize,production_tons,63157.0
Meru,2023,maize,area_ha,142379.0
Meru,2023,maize,production_tons,151039.0
Meru,2024,maize,area_ha,136082.0
Meru,2024,maize,production_tons,133150.0
Migori,2019,maize,area_ha,80745.0
Migori,2019,maize,production_tons,103965.0
Migori,2020,maize,area_ha,78222.0
Migori,2020,maize,production_tons,95966.0
Migori,2021,maize,area_ha,95034.0
Migori,2021,maize,production_tons,99598.0
Migori,2022,maize,area_ha,85628.0
Migori,2022,maize,production_tons,92441.0
Migori,2023,maize,area_ha,78567.0
Migori,2023,maize,production_tons,101474.0
Migori,2024,maize,area_ha,88449.0
Migori,2024,maize,production_tons,148919.0
Mombasa,2019,maize,area_ha,481.0
Mombasa,2019,maize,production_tons,259.0
Mombasa,2020,maize,area_ha,606.0
Mombasa,2020,maize,production_tons,803.0
Mombasa,2021,maize,area_ha,649.0
Mombasa,2021,maize,production_tons,0.0
Mombasa,2022,maize,area_ha,842.0
Mombasa,2022,maize,production_tons,272.0
Mombasa,2023,maize,area_ha,876.0
Mombasa,2023,maize,production_tons,878.0
Mombasa,2024,maize,area_ha,867.0
Mombasa,2024,maize,production_tons,770.0
Murang'a,2019,maize,area_ha,68329.0
Murang'a,2019,maize,production_tons,74087.0
Murang'a,2020,maize,area_ha,66381.0
Murang'a,2020,maize,production_tons,63653.0
Murang'a,2021,maize,area_ha,62983.0
Murang'a,2021,maize,production_tons,49256.0
Murang'a,2022,maize,area_ha,67530.0
Murang'a,2022,maize,production_tons,47434.0
Murang'a,2023,maize,area_ha,68399.0
Murang'a,2023,maize,production_tons,56827.0
Murang'a,2024,maize,area_ha,54189.0
Murang'a,2024,maize,production_tons,55488.0
Nairobi,2019,maize,area_ha,725.0
Nairobi,2019,maize,production_tons,1087.0
Nairobi,2020,maize,area_ha,684.0
Nairobi,2020,maize,production_tons,972.0
Nairobi,2021,maize,area_ha,754.0
Nairobi,2021,maize,production_tons,571.0
Nairobi,2022,maize,area_ha,661.0
Nairobi,2022,maize,production_tons,246.0
Nairobi,2023,maize,area_ha,758.0
Nairobi,2023,maize,production_tons,676.0
Nairobi,2024,maize,area_ha,713.0
Nairobi,2024,maize,production_tons,641.0
Nakuru,2019,maize,area_ha,76706.0
Nakuru,2019,maize,production_tons,214784.0
Nakuru,2020,maize,area_ha,64963.0
Nakuru,2020,maize,production_tons,206151.0
Nakuru,2021,maize,area_ha,87651.0
Nakuru,2021,maize,production_tons,242825.0
Nakuru,2022,maize,area_ha,66315.0
Nakuru,2022,maize,production_tons,213786.0
Nakuru,2023,maize,area_ha,71470.0
Nakuru,2023,maize,production_tons,215412.0
Nakuru,2024,maize,area_ha,94421.0
Nakuru,2024,maize,production_tons,201876.0
Nandi,2019,maize,area_ha,66627.0
Nandi,2019,maize,production_tons,184127.0
Nandi,2020,maize,area_ha,59746.0
