county,year,maize_area_ha,maize_production_tons,beans_area_ha,beans_production_tons,sorghum_area_ha,sorghum_production_tons,green_grams_area_ha,green_grams_production_tons,irish_potatoes_area_ha,irish_potatoes_production_tons,tea_made_tea_kg,tea_green_leaf_tea_kg,coffee_total_area_ha,maize_yield_t_per_ha,beans_yield_t_per_ha,sorghum_yield_t_per_ha,green_grams_yield_t_per_ha,irish_potatoes_yield_t_per_ha,rainfall_mm,avg_temp_c,soil_ph
Isiolo,2022,129.0,94.0,134.0,74.0,0.0,0.0,22.0,18.0,0.0,0.0,,,,0.7286821705426356,0.5522388059701493,,0.8181818181818182,,943.54,22.57156164383562,7.2
Isiolo,2023,256.0,176.0,114.0,42.0,0.0,0.0,47.0,27.0,0.0,0.0,,,,0.6875,0.3684210526315789,,0.574468085106383,,1025.49,23.02172602739726,7.2
Isiolo,2024,288.0,576.0,150.0,61.0,0.0,0.0,28.0,30.0,0.0,0.0,,,,2.0,0.4066666666666667,,1.0714285714285714,,1229.85,23.032677595628414,7.2
Kajiado,2019,17511.0,16189.0,49621.0,31812.0,10.0,9.0,134.0,67.0,1028.0,4335.0,,,,0.9245045971103878,0.6410995344712924,0.9,0.5,4.216926070038911,612.25,21.20035616438356,6.5
Kajiado,2020,31384.0,15543.0,49821.0,43846.0,10.0,9.0,39.0,28.0,1378.0,6845.0,,,,0.4952523578893704,0.8800706529375163,0.9,0.717948717948718,4.967343976777939,783.85,20.314398907103826,6.5
Kajiado,2021,4808.0,2864.0,2370.0,1581.0,15.0,22.0,20.0,28.0,1073.0,4431.0,,,,0.5956738768718802,0.6670886075949367,1.4666666666666666,1.4,4.129543336439888,462.8,20.69123287671233,6.5
Kajiado,2022,32159.0,13063.0,49930.0,24286.0,9.0,5.0,38.0,18.0,1459.0,14119.0,,,5.4,0.40620044155601853,0.48640096134588423,0.5555555555555556,0.47368421052631576,9.677176148046607,385.75,20.673506849315068,6.5
Kajiado,2023,33241.0,40733.0,47957.0,42525.0,2.0,2.0,87.0,48.0,1699.0,10874.0,,,15.0,1.225384314551307,0.8867318639614655,1.0,0.5517241379310345,6.400235432607416,717.2,20.713643835616438,6.5
Kajiado,2024,21906.0,40573.0,57493.0,38890.0,36.0,39.0,93.0,62.0,1349.0,11461.0,,,17.0,1.8521409659454031,0.6764301741081523,1.0833333333333333,0.6666666666666666,8.49592290585619,677.34,21.114781420765027,6.5
Kakamega,2019,95390.0,259003.0,60653.0,34869.0,494.0,618.0,2.0,1.0,22.0,143.0,,,,2.7152007547961,0.5748932451816069,1.2510121457489878,0.5,6.5,2667.79,19.253643835616437,5.6
Kakamega,2020,83773.0,226888.0,51851.0,27031.0,387.0,505.0,4.0,2.0,17.0,135.0,,14119034.0,,2.708366657514951,0.5213207074116217,1.3049095607235142,0.5,7.9411764705882355,3457.72,18.41655737704918,5.6
Kakamega,2021,98415.0,262506.0,65341.0,31414.0,656.0,755.0,69.0,8.0,23.0,196.0,,10899848.0,,2.6673372961438804,0.48077011371114614,1.1509146341463414,0.11594202898550725,8.521739130434783,1792.03,18.7153698630137,5.6
Kakamega,2022,100641.0,154369.0,72882.0,31120.0,669.0,446.0,110.0,41.0,14.0,125.0,,9018857.0,351.0,1.533857970409674,0.426991575423287,0.6666666666666666,0.37272727272727274,8.928571428571429,2004.64,18.875479452054794,5.6
Kakamega,2023,87532.0,132572.0,49279.0,43540.0,448.0,575.0,30.0,22.0,8.0,90.0,,10411841.0,384.0,1.5145546771466436,0.883540656263317,1.2834821428571428,0.7333333333333333,11.25,2518.62,19.151534246575345,5.6
Kakamega,2024,105181.0,212753.0,59128.0,16021.0,895.0,860.0,81.0,30.0,10.0,125.0,,13562992.4,400.0,2.0227322425152834,0.2709545393045596,0.9608938547486033,0.37037037037037035,12.5,2945.95,19.014098360655737,5.6
Kakamega/Vihiga,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3549444.0,,,,,,,,2667.79,19.253643835616437,5.6
Kakamega/Vihiga,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3322126.0,,,,,,,,3457.72,18.41655737704918,5.6
Kakamega/Vihiga,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564670.0,,,,,,,,1792.03,18.7153698630137,5.6
Kakamega/Vihiga,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2122084.0,,,,,,,,2004.64,18.875479452054794,5.6
Kakamega/Vihiga,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2449845.0,,,,,,,,2518.62,19.151534246575345,5.6
